pickup_date,pickup_hour,trip_count,PULocationID_mode,DOLocationID_mode,is_weekend_mode,trip_miles_mean,trip_miles_sum,trip_time_mean,trip_time_sum,base_passenger_fare_mean,base_passenger_fare_sum,tolls_mean,tolls_sum,bcf_mean,bcf_sum,sales_tax_mean,sales_tax_sum,congestion_surcharge_mean,congestion_surcharge_sum,tips_mean,tips_sum,driver_pay_mean,driver_pay_sum,PULocationBorough,PULocationZone,DOLocationBorough,DOLocationZone
2024-11-06,18,25975,138,265,False,4.264986717998075,110783.03,1221.3843695861406,31725459,27.154942059672763,705349.62,1.0177455245428295,26435.94,0.757572281039461,19677.94,2.3084577478344563,59962.19,1.185601539942252,30796.0,1.221757844080847,31735.16,19.27531780558229,500676.38,Queens,LaGuardia Airport,,Outside of NYC
2024-11-06,19,24015,138,265,False,4.8325896314803245,116054.64,1131.55098896523,27174197,26.659084322298565,640217.91,1.2873104309806371,30914.76,0.7446575057255882,17882.95,2.1903726837393296,52601.8,1.2005621486570892,28831.5,1.1726225275869249,28160.53,19.11548657089319,459058.41,Queens,LaGuardia Airport,,Outside of NYC
2024-11-06,20,23139,161,265,False,5.592392929685812,129402.38,1130.413803535157,26156645,29.368647737585896,679561.14,1.7192704956999008,39782.2,0.8202830718700029,18980.53,2.2751203595661007,52644.01,1.337449760145209,30947.25,1.4081351830243312,32582.84,20.477686157569472,473833.18,Manhattan,Midtown Center,,Outside of NYC
2024-11-06,21,22487,161,265,False,5.844456797260639,131424.3,1135.1557788944724,25526248,30.190084493262777,678884.43,1.7328910036910217,38967.52,0.8425645928758838,18946.75,2.3323062213723484,52446.57,1.407891226041713,31659.25,1.4812104771645842,33307.98,20.94829101258505,471064.22,Manhattan,Midtown Center,,Outside of NYC
2024-11-06,22,20333,138,265,False,5.733213495303201,116573.43,1119.3748094231053,22760248,28.6901922982344,583357.68,1.5410736241577732,31334.65,0.8004544336792406,16275.64,2.2374140559681304,45493.34,1.32779225888949,26998.0,1.3417247823734817,27281.29,20.4151546746668,415101.34,Queens,LaGuardia Airport,,Outside of NYC
2024-11-06,23,16090,138,265,False,5.595234307022996,90027.32,1067.2154133001864,17171496,26.1884468614046,421372.11,1.2662411435674332,20373.82,0.7309490366687383,11760.97,2.130558732131759,34280.69,1.2015382224984463,19332.75,1.0847495338719702,17453.62,19.24012865133623,309573.67,Queens,LaGuardia Airport,,Outside of NYC
2024-11-07,0,9884,161,265,False,5.09849150141643,50393.49,954.9611493322542,9438836,23.267920882233916,229980.13,1.1127802509105629,10998.72,0.6475273168757588,6400.16,1.8980706191825167,18760.53,1.169086402266289,11555.25,0.8269142047753946,8173.22,17.187814649939295,169884.36,Manhattan,Midtown Center,,Outside of NYC
2024-11-07,1,5858,230,265,False,5.080189484465688,29759.75,915.1590986684876,5361002,22.125247524752474,129609.7,1.0989484465687949,6437.64,0.6148412427449641,3601.74,1.847823489245476,10824.55,1.156538067599863,6775.0,0.7228900648685558,4234.69,16.732113349265962,98016.72,Manhattan,Times Sq/Theatre District,,Outside of NYC
2024-11-07,2,3811,230,265,False,5.050666491734453,19248.09,887.2442928365258,3381288,21.54739963264235,82117.14,1.0884413539753346,4148.05,0.59928627656783,2283.88,1.785631067961165,6805.04,1.0518236683285227,4008.5,0.6729939648386251,2564.78,16.409118341642614,62535.15,Manhattan,Times Sq/Theatre District,,Outside of NYC
2024-11-07,3,3651,230,132,False,6.195866885784716,22621.11,961.5828540125992,3510739,25.18887154204328,91964.57,1.4648096411941935,5348.02,0.7118077239112571,2598.81,2.095354697343194,7650.14,0.9054368666118872,3305.75,0.831405094494659,3035.46,18.7058175842235,68294.94,Manhattan,Times Sq/Theatre District,Queens,JFK Airport
2024-11-07,4,5367,230,138,False,7.971969442891745,42785.56,1113.1976895844978,5974532,31.95882057015092,171522.99,2.250871995528228,12080.43,0.9121557667225638,4895.54,2.663249487609465,14293.66,0.9335755543133968,5010.5,1.3889714924538847,7454.61,22.908695733184278,122950.97,Manhattan,Times Sq/Theatre District,Queens,LaGuardia Airport
2024-11-07,5,8339,76,132,False,7.419844106007915,61874.08,1174.6690250629572,9795565,32.00206619498741,266865.23,2.0494567693968104,17090.420000000002,0.9108885957548868,7595.9,2.7004161170404126,22518.77,1.0062057800695527,8390.75,1.4079841707638805,11741.18,22.89894591677659,190954.31,Brooklyn,East New York,Queens,JFK Airport
2024-11-07,6,14474,76,132,False,5.897057482382202,85354.01,1169.544424485284,16927986,28.314257979825896,409820.57,1.496613237529363,21661.98,0.7975113997512782,11543.18,2.4150400718529776,34955.29,0.9932983280364792,14377.0,1.1484413430979687,16622.54,20.576323062042285,297821.7,Brooklyn,East New York,Queens,JFK Airport
2024-11-07,7,23105,76,138,False,4.55615278078338,105269.91,1182.2646180480417,27316224,25.616743561999566,591874.86,1.029976195628652,23797.6,0.7168764336723653,16563.43,2.1996546202120757,50823.02,0.9438541441246484,21807.75,1.0540770396018178,24354.45,18.810556589482797,434617.91,Brooklyn,East New York,Queens,LaGuardia Airport
2024-11-07,8,26653,231,265,False,4.191639215097737,111719.76,1193.9264247927065,31821721,25.317646043597342,674791.22,0.838639177578509,22352.25,0.7073567703448017,18853.18,2.206786478070011,58817.48,1.0332326567365775,27538.75,1.0731808802011031,28603.49,18.484020560537274,492654.6,Manhattan,TriBeCa/Civic Center,,Outside of NYC
2024-11-07,9,22560,138,265,False,4.479901595744681,101066.58,1204.7836879432623,27179920,26.43209219858156,596308.0,0.9250851063829788,20869.92,0.7397047872340426,16687.74,2.2787096631205674,51407.69,1.0858931737588653,24497.75,1.2132420212765958,27370.74,19.075070921985816,430333.6,Queens,LaGuardia Airport,,Outside of NYC
2024-11-07,10,20314,138,138,False,4.795932854189229,97424.58,1259.7961504381217,25591499,27.452711430540518,557674.38,1.07065915132421,21749.37,0.7686831741656001,15615.03,2.3794540710839813,48336.23,1.1539578615732993,23441.5,1.3320581864723835,27059.43,20.00260706901644,406332.96,Queens,LaGuardia Airport,Queens,LaGuardia Airport
