pickup_date,pickup_hour,trip_count,PULocationID_mode,DOLocationID_mode,is_weekend_mode,trip_miles_mean,trip_miles_sum,trip_time_mean,trip_time_sum,base_passenger_fare_mean,base_passenger_fare_sum,tolls_mean,tolls_sum,bcf_mean,bcf_sum,sales_tax_mean,sales_tax_sum,congestion_surcharge_mean,congestion_surcharge_sum,tips_mean,tips_sum,driver_pay_mean,driver_pay_sum,PULocationBorough,PULocationZone,DOLocationBorough,DOLocationZone
2024-07-15,2,2364,138,265,False,5.412149746192894,12794.322,945.2119289340102,2234481,22.29101099830795,52695.95,1.138312182741117,2690.97,0.6250169204737732,1477.54,1.855266497461929,4385.85,0.7258883248730964,1716.0,0.6681302876480542,1579.46,17.517571912013537,41411.54,Queens,LaGuardia Airport,,Outside of NYC
2024-07-15,3,1759,37,138,False,5.979189880613985,10517.395,976.0716316088686,1716910,25.2678908470722,44446.22,1.2622683342808414,2220.33,0.7163501989766913,1260.06,2.148430926662877,3779.09,0.7754405912450256,1364.0,0.933689596361569,1642.36,18.850210346787943,33157.52,Brooklyn,Bushwick South,Queens,LaGuardia Airport
2024-07-15,4,2609,129,138,False,6.576235722499042,17157.399,1040.316596397087,2714186,28.137152165580684,73409.83,1.6386929858183212,4275.35,0.8148600996550401,2125.97,2.3403449597546957,6105.96,0.8822345726331928,2301.75,1.2160099655040246,3172.57,20.58584131851284,53708.46,Queens,Jackson Heights,Queens,LaGuardia Airport
2024-07-15,5,3776,7,138,False,6.425281514830509,24261.863,1097.0415783898304,4142429,28.13748940677966,106247.16,1.527740995762712,5768.75,0.8119306144067796,3065.85,2.3822881355932206,8995.52,0.9292902542372882,3509.0,1.4907150423728812,5628.94,20.81677436440678,78604.14,Queens,Astoria,Queens,LaGuardia Airport
2024-07-15,6,5475,7,138,False,5.853533515981735,32048.096,1129.6372602739723,6184764,26.54802191780822,145350.42,1.3121607305936074,7184.08,0.7546849315068492,4131.9,2.256571689497717,12354.73,1.0231506849315068,5601.75,1.1887707762557076,6508.52,20.147981735159817,110310.2,Queens,Astoria,Queens,LaGuardia Airport
2024-07-15,7,7429,132,138,False,4.966282272176605,36894.511,1167.146453089245,8670731,24.81606003499798,184358.51,1.0395652173913044,7722.93,0.6948943330192489,5162.37,2.097866469242159,15585.05,0.9713285771974692,7216.0,1.103968232601965,8201.38,19.1369040247678,142168.06,Queens,JFK Airport,Queens,LaGuardia Airport
2024-07-15,8,9304,138,265,False,4.329246990541702,40279.314,1157.5288048151333,10769648,24.38970442820292,226921.81,0.8438800515907137,7851.46,0.6781857265692176,6309.84,2.054722699914016,19117.14,0.9378493121238176,8725.75,1.1316132846087703,10528.53,18.33453675838349,170584.53,Queens,LaGuardia Airport,,Outside of NYC
2024-07-15,9,8873,138,265,False,4.373697396596416,38807.817,1125.1338893271725,9983313,23.616794770652543,209551.82,0.8497982643976107,7540.26,0.6598140426011495,5854.53,1.994930688605883,17701.02,0.9849543559111912,8739.5,1.152953905105376,10230.16,17.85105826665164,158392.44,Queens,LaGuardia Airport,,Outside of NYC
2024-07-15,10,6785,138,265,False,4.969753426676492,33719.777,1242.7397199705233,8431989,25.35394252026529,172026.5,1.081177597641857,7335.79,0.7150493736182756,4851.61,2.1257450257921886,14423.18,1.017722918201916,6905.25,1.4133308769344142,9589.45,19.77696683861459,134186.72,Queens,LaGuardia Airport,,Outside of NYC
2024-07-15,11,6238,138,265,False,5.059515229240141,31561.256,1259.3316768194934,7855711,26.36642994549535,164473.79,1.2850721385059314,8016.28,0.7508063481885219,4683.53,2.1985011221545365,13714.25,1.0527412632253927,6567.0,1.5298396922090414,9543.14,20.108223789676178,125435.1,Queens,LaGuardia Airport,,Outside of NYC
