datetime,service,total_rideshare_cost_mean,trip_count,trip_miles_mean,trip_time_mean,tips_mean,congestion_surcharge_mean,is_weekend_mode,temp,feelslike,precip,snow,windspeed,cloudcover,visibility,uvindex,conditions
2024-01-01 00:00:00,uber,56.692672995603345,35709,4.915987006076899,1110.4015794337563,1.0343064773586492,1.0415581506062896,False,43,39,0.0,0.0,6,97,9,0,0
2024-01-01 01:00:00,uber,80.00494388673755,40543,5.3378408109908,1186.8746516044694,1.2888757615371331,0.9793737513257528,False,42,38,0.0,0.0,6,100,9,0,0
2024-01-01 02:00:00,uber,75.70337437465258,35980,5.566168426903835,1141.817537520845,1.1566506392440246,0.882976653696498,False,42,38,0.0,0.0,5,100,9,0,0
2024-01-01 03:00:00,uber,60.82366166301231,29645,5.651970990048912,1071.728858154832,0.8485842469219093,0.811106426041491,False,41,41,0.0,0.0,1,100,9,0,0
2024-01-01 04:00:00,uber,56.10418871918947,19839,5.790342759211653,1043.929633550078,0.8148712132667977,0.7054160996017944,False,41,38,0.0,0.0,4,100,9,0,0
2024-01-01 05:00:00,uber,55.23401226158039,13212,6.094292310021192,1031.9679836512262,0.7860384498940357,0.6357478050257341,False,40,40,0.0,0.0,0,90,9,0,0
2024-01-01 06:00:00,uber,63.08970735049428,10217,6.832636781834198,1065.615444846824,0.9669247332876578,0.6446119213076246,False,41,37,0.0,0.0,5,100,9,0,0
2024-01-01 07:00:00,uber,58.859264482093934,9857,6.687651415237902,1021.331135233844,0.988243887592574,0.6856548645632545,False,39,36,0.01,0.0,4,100,7,0,3
2024-01-01 08:00:00,uber,52.886631952391845,8738,6.3296246280613415,962.5627145799954,1.0130556191348137,0.7488555733577478,False,39,36,0.012,0.0,3,100,8,0,3
2024-01-01 09:00:00,uber,50.9707561541009,9059,6.113454023622916,944.7313169223976,1.1699105861574124,0.9210177723810576,False,39,37,0.004,0.0,3,100,9,1,3
2024-01-01 10:00:00,uber,54.61232943113226,10934,6.307317541613317,977.3416864825316,1.2672434607645875,1.1025471007865375,False,41,38,0.0,0.0,4,97,9,3,0
2024-01-01 11:00:00,uber,52.93925532825473,11683,5.999530942394933,998.9292133869724,1.2595900025678337,1.158285543096807,False,43,43,0.0,0.0,2,56,9,4,1
2024-01-01 12:00:00,uber,54.622215904540724,12487,5.845267878593738,1044.2013293825578,1.3101673740690318,1.186293745495315,False,45,45,0.0,0.0,2,15,9,5,2
2024-01-01 13:00:00,uber,58.14346749892381,13938,5.78952790931267,1096.827450136318,1.2816544697948056,1.1236906299325584,False,45,44,0.0,0.0,3,88,9,2,1
2024-01-01 14:00:00,uber,59.71478849521756,14846,5.917237639768287,1157.8749158022365,1.250466792401994,1.0714839013875792,False,45,45,0.0,0.0,1,88,9,2,1
2024-01-01 15:00:00,uber,57.88756159032197,15871,5.908698254678344,1192.2305462793774,1.1973675256757608,0.9932423917837564,False,45,44,0.0,0.0,3,97,9,1,0
2024-01-01 16:00:00,uber,56.986431525322146,16685,5.688209169913096,1152.9921486365,1.1945975427030266,1.0391818999100988,False,45,44,0.0,0.0,4,97,9,0,0
